id,region_id,delegacion,sede,nivel_delegacion_id
2,1,D-II-59,PANUCO,36
3,2,D-III-13,TUXPAN,19
4,2,D-II-20,TUXPAN,39
5,4,D-I-77,JUCHIQUE DE FERRER,35
6,2,D-I-94,TAMIAHUA,35
7,6,D-I-08,CARDEL,35
8,2,D-I-09,CERRO AZUL,35
9,2,D-II-22,NARANJOS,39
10,7,D-II-31,COSCOMATEPEC,39
11,1,D-II-35,TANTOYUCA,39
12,2,D-II-53,TUXPAN,22
13,2,D-I-57,TUXPAN,35
14,2,D-I-35,NARANJOS,35
15,2,D-I-19,CHONTLA,35
16,2,D-I-38,OZULUAMA,35
17,1,D-I-71,BENITO JUAREZ,35
18,2,D-I-80,TUXPAN,34
19,1,D-II-50,TEMPOAL,39
20,4,D-II-34,MISANTLA,39
21,5,D-I-60,XALAPA,34
22,6,D-I-43,PIEDRAS NEGRAS,35
23,4,D-I-93,VEGA DE LA TORRE,35
24,4,D-III-15,MARTINEZ DE LA TORRE,19
25,9,D-II-12,TLACOTALPAN,37
26,4,D-I-74,TLAPACOYAN,35
27,4,D-II-32,MARTINEZ DE LA TORRE,39
28,4,D-II-42,MARTINEZ DE LA TORRE,40
29,1,D-II-37,TANTOYUCA,40
30,4,D-II-48,SAN RAFAEL,39
31,4,D-I-30,MARTINEZ DE LA TORRE,35
32,4,D-I-33,MISANTLA,35
33,9,D-II-14,ALVARADO,6
34,6,D-I-58,VERACRUZ,35
35,6,D-III-18,CARDEL,19
36,9,D-I-79,ALVARADO,34
37,7,D-I-23,HUATUSCO,35
38,5,D-II-58,XALAPA,39
39,7,D-I-66,CORDOBA,27
40,4,D-I-88,MARTINEZ DE LA TORRE,34
41,8,D-I-78,ORIZABA,34
42,10,D-I-48,SAN ANDRES TUXTLA,35
43,7,D-I-36,OMEALCA,35
44,7,D-I-14,CORDOBA,30
45,10,D-I-25,ISLA,35
46,9,D-II-29,TLACOTALPAN,32
47,10,D-II-16,SAN ANDRES TUXTLA,39
48,5,D-I-84,XALAPA,38
49,10,D-I-45,PLAYA VICENTE,35
50,10,D-II-28,ISLA,39
51,9,D-II-10,ALVARADO,37
52,9,D-I-63,COSAMALOAPAN,34
53,10,D-I-29,LERDO DE TEJADA,35
54,10,D-I-89,ISLA,34
55,10,D-II-51,SANTIAGO TUXTLA,39
56,10,D-I-68,SANTIAGO TUXTLA,35
57,8,D-I-37,IXTACZOQUITLAN,35
58,5,D-III-04,XALAPA,1
59,5,D-II-21,XALAPA,39
60,7,D-II-09,CORDOBA,24
61,5,D-II-46,XALAPA,39
62,10,D-I-41,SAN ANDRES TUXTLA,34
63,8,D-I-65,ZONGOLICA,35
64,8,D-I-55,SAN JUAN TEXHUACAN,35
65,8,D-I-10,CIUDAD MENDOZA,35
66,8,D-I-54,TEQUILA,35
67,5,D-III-01,XALAPA,31
68,7,D-III-11,CORDOBA,19
69,5,D-I-05,ALTOTONGA,35
70,5,D-I-92,XALAPA,20
71,1,D-I-90,TANTOYUCA,34
72,1,D-I-87,IXCATEPEC,35
73,8,D-II-17,ORIZABA,40
74,8,D-II-26,ORIZABA,39
75,8,D-I-03,ACULTZINGO,35
76,9,D-II-27,TIERRA BLANCA,39
77,8,D-III-05,ORIZABA,19
78,1,D-I-91,PANUCO,34
79,1,D-I-44,PLATON SANCHEZ,35
80,5,D-III-16,COATEPEC,19
81,7,D-I-64,CORDOBA,34
82,5,D-II-38,XALAPA,40
83,5,D-II-13,XALAPA,32
84,1,D-I-51,TANTOYUCA,35
85,5,D-II-15,XALAPA,15
86,1,D-I-52,TEMPOAL,35
87,5,D-III-08,XALAPA,4
88,5,D-II-24,XALAPA,42
89,6,D-I-07,BOCA DEL RIO,35
90,1,D-I-39,PANUCO,35
91,1,D-III-17,TANTOYUCA,19
92,9,D-II-43,ALVARADO,6
93,9,D-I-06,ALVARADO,35
94,5,D-II-03,XALAPA,7
95,9,D-I-56,TIERRA BLANCA,35
96,5,D-I-81,COATEPEC,34
97,5,D-I-61,XALAPA,30
98,1,D-I-72,PUEBLO VIEJO,35
99,5,D-I-53,TEOCELO,35
100,5,D-III-03,XALAPA,2
101,5,D-I-11,COATEPEC,35
102,5,D-I-34,NAOLINCO,35
103,5,D-III-24,XALAPA,3
104,5,D-I-75,CARRIZAL,35
105,5,D-III-23,XALAPA,19
106,5,D-I-20,EMILIANO ZAPATA,35
107,5,D-II-04,XALAPA,14
108,5,D-IV-18,ALTOTONGA,29
109,2,D-IV-09,TUXPAN,29
110,4,D-IV-28,MISANTLA,29
111,4,D-IV-08,MARTINEZ DE LA TORRE,29
112,6,D-IV-05,SOLEDAD DE DOBLADO,29
113,10,D-IV-03,SAN ANDRES TUXTLA,29
114,10,D-IV-26,ISLA,29
115,9,D-IV-06,COSAMALOAPAN,29
116,8,D-IV-32,ZONGOLICA,29
117,8,D-IV-07,ORIZABA,29
118,5,D-IV-17,COATEPEC,29
119,7,D-IV-16,CORDOBA,29
120,9,D-IV-21,ALVARADO,29
121,5,D-IV-02,XALAPA,29
122,1,D-IV-13,TANTOYUCA,29
123,4,C.T.05,MISANTLA,25
124,5,C.T.23,XALAPA,12
